# SecInDay , Headway 
72534,180
72714,180
72894,180
73074,180
73254,180
73434,180
73614,180
73794,225
74019,225
74244,225
74469,225
74694,225
74919,225
75144,225
75369,225
75594,225
75819,225
76044,225
76269,225
76494,270
76764,270
77034,270
77304,270
77574,270
77844,270
78114,270
78384,270
78654,270
78924,270
79194,315
79509,315
79824,315
80139,315
80454,315
80769,315
81084,315
81399,315
81714,315
82029,315
82344,360
82704,360
83064,360
83424,360
83784,360
84144,360
84504,360
84864,360
85224,360
85584,405
85989,405
86394,405
86799,405
87204,405
87609,405
88014,405
88419,405
88824,405
89229,405
89634,405
