# Reading [out/madrid_08_incident.zo] to see occupancy of trains entering [Trk_L10_1_DEL_JVJ].
18030,5:00:30,Train_proto/L10/1,0
18210,5:03:30,Train_proto/L10/3,0
18390,5:06:30,Train_proto/L10/5,80
18570,5:09:30,Train_proto/L10/7,99
18750,5:12:30,Train_proto/L10/9,0
18930,5:15:30,Train_proto/L10/11,0
19110,5:18:30,Train_proto/L10/13,0
19290,5:21:30,Train_proto/L10/15,5
19470,5:24:30,Train_proto/L10/17,0
19650,5:27:30,Train_proto/L10/19,0
19830,5:30:30,Train_proto/L10/21,10
19965,5:32:45,Train_proto/L10/23,0
20100,5:35:00,Train_proto/L10/25,238
20235,5:37:15,Train_proto/L10/27,0
20370,5:39:30,Train_proto/L10/29,0
20505,5:41:45,Train_proto/L10/31,5
20640,5:44:00,Train_proto/L10/33,38
20775,5:46:15,Train_proto/L10/35,4
20910,5:48:30,Train_proto/L10/37,0
21045,5:50:45,Train_proto/L10/39,0
21180,5:53:00,Train_proto/L10/41,0
21315,5:55:15,Train_proto/L10/43,0
21450,5:57:30,Train_proto/L10/45,0
21585,5:59:45,Train_proto/L10/47,0
21720,6:02:00,Train_proto/L10/49,5
21855,6:04:15,Train_proto/L10/51,0
21990,6:06:30,Train_proto/L10/53,0
22125,6:08:45,Train_proto/L10/55,0
22260,6:11:00,Train_proto/L10/57,0
22395,6:13:15,Train_proto/L10/59,483
22530,6:15:30,Train_proto/L10/61,910
22665,6:17:45,Train_proto/L10/63,866
22800,6:20:00,Train_proto/L10/65,896
22935,6:22:15,Train_proto/L10/67,906
23070,6:24:30,Train_proto/L10/69,903
23205,6:26:45,Train_proto/L10/71,879
23340,6:29:00,Train_proto/L10/73,905
23475,6:31:15,Train_proto/L10/75,649
23610,6:33:30,Train_proto/L10/77,91
23745,6:35:45,Train_proto/L10/79,276
23880,6:38:00,Train_proto/L10/81,127
24015,6:40:15,Train_proto/L10/83,228
24150,6:42:30,Train_proto/L10/85,276
24285,6:44:45,Train_proto/L10/87,311
24420,6:47:00,Train_proto/L10/89,400
