# SecInDay , Headway 
52522,225
52747,225
52972,225
53197,225
53422,225
53647,225
53872,225
54097,225
54322,180
54502,180
54682,180
54862,180
55042,180
55222,180
55402,180
55582,180
55762,180
55942,180
56122,180
56302,180
56482,180
56662,180
56842,180
57022,180
57202,180
57382,180
57562,180
57742,180
57922,180
58102,180
58282,180
58462,135
58597,135
58732,135
58867,135
59002,135
59137,135
59272,135
59407,135
59542,135
59677,135
59812,135
59947,135
60082,135
60217,135
60352,135
60487,135
60622,135
60757,135
60892,135
61027,135
61162,135
61297,135
61432,135
61567,135
61702,135
61837,135
61972,135
62107,135
62242,135
62377,135
62512,135
62647,135
62782,135
62917,135
63052,135
63187,135
63322,135
63457,135
63592,135
63727,135
63862,135
63997,135
64132,135
64267,135
64402,135
64537,135
64672,135
64807,135
64942,135
65077,135
65212,135
65347,135
65482,135
65617,135
65752,135
65887,135
66022,135
66157,135
66292,135
66427,135
66562,135
66697,135
66832,135
66967,135
67102,135
67237,135
67372,135
67507,135
67642,135
67777,135
67912,135
68047,135
68182,135
68317,135
68452,135
68587,135
68722,135
68857,135
68992,135
69127,135
69262,135
69397,135
69532,135
69667,135
69802,135
69937,135
70072,135
70207,135
70342,180
70522,180
70702,180
70882,180
71062,180
71242,180
71422,180
71602,180
71782,180
71962,180
72142,180
72322,180
72502,180
72682,180
72862,180
73042,180
73222,180
73402,180
73582,180
73762,225
73987,225
74212,225
74437,225
74662,225
74887,225
75112,225
75337,225
75562,225
75787,225
76012,225
76237,225
76462,225
76687,270
76957,270
77227,270
77497,270
77767,270
78037,270
78307,270
78577,270
78847,270
79117,270
79387,315
79702,315
80017,315
80332,315
80647,315
80962,315
81277,315
81592,315
81907,315
82222,360
82582,360
82942,360
83302,360
83662,360
84022,360
84382,360
84742,360
85102,360
85462,405
85867,405
86272,405
86677,405
87082,405
87487,405
87892,405
88297,405
88702,405
89107,405
89512,405
89917,450
14958,225
15183,225
15408,225
15633,225
15858,225
16083,225
16308,225
16533,180
16713,180
16893,180
17073,180
17253,180
17433,180
17613,180
17793,180
17973,180
18153,180
18333,180
18513,180
18693,180
18873,180
19053,180
19233,180
19413,180
19593,180
19773,180
19953,135
20088,135
20223,135
20358,135
20493,135
20628,135
20763,135
20898,135
21033,135
21168,135
21303,135
21438,135
21573,135
21708,135
21843,135
21978,135
22113,135
22248,135
22383,135
22518,135
22653,135
22788,135
22923,135
23058,135
23193,135
23328,135
23463,135
23598,135
23733,135
23868,135
24003,135
24138,135
24273,135
24408,135
24543,135
24678,135
24813,135
24948,135
25083,135
25218,135
25353,135
25488,135
25623,135
25758,135
25893,135
26028,135
26163,135
26298,135
26433,135
26568,135
26703,135
26838,135
26973,135
27108,135
27243,135
27378,135
27513,135
27648,135
27783,135
27918,135
28053,135
28188,135
28323,135
28458,135
28593,135
28728,135
28863,135
28998,135
29133,135
29268,135
29403,135
29538,135
29673,135
29808,135
29943,135
30078,135
30213,135
30348,135
30483,135
30618,135
30753,135
30888,135
31023,135
31158,135
31293,135
31428,135
31563,135
31698,180
31878,180
32058,180
32238,180
32418,180
32598,180
32778,180
32958,180
33138,180
33318,180
33498,180
33678,180
33858,180
34038,180
34218,180
34398,180
34578,180
34758,180
34938,180
35118,180
35298,180
35478,180
35658,180
35838,225
36063,225
36288,225
36513,225
36738,225
36963,225
37188,225
37413,225
37638,225
37863,225
38088,225
38313,225
38538,225
38763,225
38988,225
39213,225
39438,225
39663,225
39888,225
40113,225
40338,270
40608,270
40878,270
41148,270
41418,270
41688,270
41958,270
42228,270
42498,270
42768,270
43038,270
43308,270
43578,270
43848,270
44118,270
44388,270
44658,270
44928,270
45198,270
45468,270
45738,270
46008,270
46278,270
46548,270
46818,270
47088,270
47358,270
47628,270
47898,270
48168,270
48438,270
48708,270
48978,270
49248,270
49518,270
49788,270
50058,225
50283,225
50508,225
50733,225
50958,225
51183,225
51408,225
51633,225
51858,225
52083,225
52308,225
52533,225
52758,225
52983,225
53208,225
53433,225
53658,225
53883,225
54108,225
54333,180
54513,180
54693,180
54873,180
55053,180
55233,180
55413,180
55593,180
55773,180
55953,180
56133,180
56313,180
56493,180
56673,180
56853,180
57033,180
57213,180
57393,180
57573,180
57753,180
57933,180
58113,180
58293,180
58473,135
58608,135
58743,135
58878,135
59013,135
59148,135
59283,135
59418,135
59553,135
59688,135
59823,135
59958,135
60093,135
60228,135
60363,135
60498,135
60633,135
60768,135
60903,135
61038,135
61173,135
61308,135
61443,135
61578,135
61713,135
61848,135
61983,135
62118,135
62253,135
62388,135
62523,135
62658,135
62793,135
62928,135
63063,135
63198,135
63333,135
63468,135
63603,135
63738,135
63873,135
64008,135
64143,135
64278,135
64413,135
64548,135
64683,135
64818,135
64953,135
65088,135
65223,135
65358,135
65493,135
65628,135
65763,135
65898,135
66033,135
66168,135
66303,135
66438,135
66573,135
66708,135
66843,135
66978,135
67113,135
67248,135
67383,135
67518,135
67653,135
67788,135
67923,135
68058,135
68193,135
68328,135
68463,135
68598,135
68733,135
68868,135
69003,135
69138,135
69273,135
69408,135
69543,135
69678,135
69813,135
69948,135
70083,135
70218,135
70353,180
70533,180
70713,180
70893,180
71073,180
71253,180
71433,180
71613,180
71793,180
71973,180
72153,180
72333,180
72513,180
72693,180
72873,180
73053,180
73233,180
73413,180
73593,180
73773,225
73998,225
74223,225
74448,225
74673,225
74898,225
75123,225
75348,225
75573,225
75798,225
76023,225
76248,225
76473,270
76743,270
77013,270
77283,270
77553,270
77823,270
78093,270
78363,270
78633,270
78903,270
79173,270
79443,315
79758,315
80073,315
80388,315
80703,315
81018,315
81333,315
81648,315
81963,315
82278,360
82638,360
82998,360
83358,360
83718,360
84078,360
84438,360
84798,360
85158,360
85518,405
85923,405
86328,405
86733,405
87138,405
87543,405
87948,405
88353,405
88758,405
89163,405
89568,405
89973,450
